2016-08-03 15:23:26 status unpacked libbz2-1.0:armhf 1.0.6-5
2016-08-03 15:23:26 status unpacked libbz2-1.0:armhf 1.0.6-5
2016-08-03 15:23:26 install libc-bin:armhf <none> 2.19-0ubuntu6
2016-08-03 15:23:26 status half-installed libc-bin:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status unpacked libc-bin:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status unpacked libc-bin:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 upgrade libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2016-08-03 15:23:26 status half-configured libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status half-installed libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status half-installed libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 status unpacked libc6:armhf 2.19-0ubuntu6
2016-08-03 15:23:26 install libcap2:armhf <none> 1:2.24-0ubuntu2
2016-08-03 15:23:26 status half-installed libcap2:armhf 1:2.24-0ubuntu2
2016-08-03 15:23:26 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2016-08-03 15:23:26 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2016-08-03 15:23:26 install libcgmanager0:armhf <none> 0.24-0ubuntu5
2016-08-03 15:23:26 status half-installed libcgmanager0:armhf 0.24-0ubuntu5
2016-08-03 15:23:26 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2016-08-03 15:23:26 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2016-08-03 15:23:26 install libcomerr2:armhf <none> 1.42.9-3ubuntu1
2016-08-03 15:23:26 status half-installed libcomerr2:armhf 1.42.9-3ubuntu1
2016-08-03 15:23:26 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2016-08-03 15:23:26 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2016-08-03 15:23:26 install libdb5.3:armhf <none> 5.3.28-3ubuntu3
2016-08-03 15:23:26 status half-installed libdb5.3:armhf 5.3.28-3ubuntu3
2016-08-03 15:23:27 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2016-08-03 15:23:27 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2016-08-03 15:23:27 install libdbus-1-3:armhf <none> 1.6.18-0ubuntu4
2016-08-03 15:23:27 status half-installed libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-08-03 15:23:27 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-08-03 15:23:27 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2016-08-03 15:23:27 install libdebconfclient0:armhf <none> 0.187ubuntu1
2016-08-03 15:23:27 status half-installed libdebconfclient0:armhf 0.187ubuntu1
2016-08-03 15:23:27 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2016-08-03 15:23:27 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2016-08-03 15:23:27 install libdrm2:armhf <none> 2.4.52-1
2016-08-03 15:23:27 status half-installed libdrm2:armhf 2.4.52-1
2016-08-03 15:23:27 status unpacked libdrm2:armhf 2.4.52-1
2016-08-03 15:23:27 status unpacked libdrm2:armhf 2.4.52-1
2016-08-03 15:23:27 install libgcc1:armhf <none> 1:4.9-20140406-0ubuntu1
2016-08-03 15:23:27 status half-installed libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-08-03 15:23:27 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-08-03 15:23:27 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2016-08-03 15:23:27 install libjson-c2:armhf <none> 0.11-3ubuntu1
2016-08-03 15:23:27 status half-installed libjson-c2:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 install libjson0:armhf <none> 0.11-3ubuntu1
2016-08-03 15:23:27 status half-installed libjson0:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 status unpacked libjson0:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 status unpacked libjson0:armhf 0.11-3ubuntu1
2016-08-03 15:23:27 install libklibc:armhf <none> 2.0.3-0ubuntu1
2016-08-03 15:23:27 status half-installed libklibc:armhf 2.0.3-0ubuntu1
2016-08-03 15:23:27 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2016-08-03 15:23:27 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2016-08-03 15:23:27 install libkmod2:armhf <none> 15-0ubuntu6
2016-08-03 15:23:27 status half-installed libkmod2:armhf 15-0ubuntu6
2016-08-03 15:23:27 status unpacked libkmod2:armhf 15-0ubuntu6
2016-08-03 15:23:27 status unpacked libkmod2:armhf 15-0ubuntu6
2016-08-03 15:23:27 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:23:27 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:23:27 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:23:27 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2016-08-03 15:23:27 install libmount1:armhf <none> 2.20.1-5.1ubuntu20
2016-08-03 15:23:27 status half-installed libmount1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:27 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:27 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2016-08-03 15:23:27 install libncurses5:armhf <none> 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status half-installed libncurses5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 install libncursesw5:armhf <none> 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status half-installed libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2016-08-03 15:23:27 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu25
2016-08-03 15:23:27 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 install libnih1:armhf <none> 1.0.3-4ubuntu25
2016-08-03 15:23:27 status half-installed libnih1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2016-08-03 15:23:27 install libpam-modules:armhf <none> 1.1.8-1ubuntu2
2016-08-03 15:23:27 status half-installed libpam-modules:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:27 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:27 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2016-08-03 15:23:27 install libpam-modules-bin:armhf <none> 1.1.8-1ubuntu2
2016-08-03 15:23:27 status half-installed libpam-modules-bin:armhf 1.1.8-1ubuntu2
